20MICRONS,"http://www.moneycontrol.com/india/stockpricequote/miningminerals/20microns/2M
3IINFOTECH,"http://www.moneycontrol.com/india/stockpricequote/computerssoftware/3iinfotech/I11
ACE,"http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/ferventsynergies/FPS
ACE,"http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/finedrugs/FD
ACE,"http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/fredunpharmaceuticalslimited/FPL01
ACE,"http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/freseniuskabioncology/FKO01
ACE,"http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/fulfordindia/FI13
ACE,"http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/gangapharmaceuticals/GPL02
ACE,"http://www.moneycontrol.com/india/stockpricequote/steelmediumsmall/gargfurnace/GF03
ACE,"http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/gennexlaboratories/GL03
ACE,"http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/germanremedies/GR
ACE,"http://www.moneycontrol.com/india/stockpricequote/pharmaceuticalsdrugs/glandpharma/GP14
ACE,"http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/glaxosmithklinepharmaceuticals/GSK
ACE,"http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/glenmarkpharma/GP08
ACE,"http://www.moneycontrol.com/india/stockpricequote/computerssoftware/globalspacetechnologies/GT06
ACE,"http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/godavaridrugs/GD
ACE,"http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/granhealpharma/GHP
ACE,"http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/granulesindia/GI25
ACE,"http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/greensignalbiopharma/GBP01
ACE,"http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/guficbiosciences/GB04
ACE,"http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/gujaratinjectkerala/GIK
ACE,"http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/gujaratlykaorganics/GLO
ACE,"http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/gujarattercelaboratories/GTL
ACE,"http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/gujaratthemisbiosyn/GTB01
ACE,"http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/gujaratvitapharma/GVP
ACE,"http://www.moneycontrol.com/india/stockpricequote/cementmini/gujarathimalayacements/GHC01
ACE,"http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/gujaratinject/GIL
ACE,"http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/hallmarkhealthcare/HH
ACE,"http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/harleystreetpharmaceuticals/HPL
ACE,"http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/harshitaorganics/HO
ACE,"http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/hesterbiosciences/HB01
ACE,"http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/hexonepharmaceuticals/HP04
ACE,"http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/hitechdrugs/HTD
ACE,"http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/hikal/H05
ACE,"http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/hiranorgochem/HO01
ACE,"http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/iconbiopharmaandhealthcare/ICO
ACE,"http://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/idealspacesolutions/ISS01
ACE,"http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/indswift/IS02
ACE,"http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/indswiftlaboratories/ISL
ACE,"http://www.moneycontrol.com/india/stockpricequote/cementmajor/indiacements/IC
ACE,"http://www.moneycontrol.com/india/stockpricequote/constructioncontractingcivil/indiainfraspace/GI04
ACE,"http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/indiainfusion/II01
ACE,"http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/indianmaizechemicals/IMC01
ACE,"http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/indocoremedies/IR05
ACE,"http://www.moneycontrol.com/india/stockpricequote/financegeneral/interfacefinancialservices/IFS01
ACE,"http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/iolchemicalspharmaceuticals/IOL01
