CYBERTECH,"http://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/cybertechsystemssoftware/CSS
DABUR,"http://www.moneycontrol.com/india/stockpricequote/personalcare/daburindia/DI
DAMODARIND,"http://www.moneycontrol.com/india/stockpricequote/textilesspinningsyntheticblended/damodarindustries/DT
DANGEE,"http://www.moneycontrol.com/india/stockpricequote/foodprocessing/dangeedums/DD
DATAMATICS,"http://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/datamaticsglobalservices/DGS01
DBREALTY,"http://www.moneycontrol.com/india/stockpricequote/constructioncontractingrealestate/dbrealty/DR
DBREALTY,"http://www.moneycontrol.com/india/stockpricequote/rdbrealty/rdbrealtyinfrastructure/RDB01
DCBBANK,"http://www.moneycontrol.com/india/stockpricequote/banksprivatesector/dcbbank/DCB01
DCM,"http://www.moneycontrol.com/india/stockpricequote/miscellaneous/dcmnouvellelimited/DCMNV54272
DCMSHRIRAM,"http://www.moneycontrol.com/india/stockpricequote/diversified/dcmshriram/DCM02
DCMSHRIRAM,"http://www.moneycontrol.com/india/stockpricequote/sugar/dcmshriramindustries/DCM03
DECCANCE,"http://www.moneycontrol.com/india/stockpricequote/cementmini/deccancements/DC
DEEPAKFERT,"http://www.moneycontrol.com/india/stockpricequote/fertilisers/deepakfertilizerspetrochemicalscoprn/DFP
DEEPAKFERT,"http://www.moneycontrol.com/india/stockpricequote/fertilizers/deepakfertiliserspcre/DFP01
DELTACORP,"http://www.moneycontrol.com/india/stockpricequote/constructioncontractingrealestate/deltacorp/DC11
DEN,"http://www.moneycontrol.com/india/stockpricequote/mediaentertainment/dennetworks/DN02
DENORA,"http://www.moneycontrol.com/india/stockpricequote/electricequipment/denoraindia/DNI
DFMFOODS,"http://www.moneycontrol.com/india/stockpricequote/foodprocessing/dfmfoods/DFM
DHAMPURSUG,"http://www.moneycontrol.com/india/stockpricequote/sugar/dhampursugarmills/DSM
DHANBANK,"http://www.moneycontrol.com/india/stockpricequote/banksprivatesector/bandhanbank/BB09
DHANI,"http://www.moneycontrol.com/india/stockpricequote/diversified/dhaniservicespp/DS03
DHANI,"http://www.moneycontrol.com/india/stockpricequote/financeinvestment/dhaniservicespp/IVP01
DHANI,"http://www.moneycontrol.com/india/stockpricequote/financeinvestments/dhaniservices/IS13
DHANUKA,"http://www.moneycontrol.com/india/stockpricequote/pesticidesagrochemicals/dhanukaagritech/DA01
DIAPOWER,"http://www.moneycontrol.com/india/stockpricequote/electricequipment/hondaindiapowerproductslimited/HSP02
DIAPOWER,"http://www.moneycontrol.com/india/stockpricequote/powergenerationdistribution/rattanindiapower/IP09
DICIND,"http://www.moneycontrol.com/india/stockpricequote/printingstationery/dicindia/DIC02
DIGISPICE,"http://www.moneycontrol.com/india/stockpricequote/telecommunicationsequipment/digispicetechnologies/S13
DISHTV,"http://www.moneycontrol.com/india/stockpricequote/mediaentertainment/dishtvindia/DTV
DIVISLAB,"http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/divislaboratories/DL03
DIXON,"http://www.moneycontrol.com/india/stockpricequote/electricals/dixontechnologies/DT07
DOLAT,"http://www.moneycontrol.com/india/stockpricequote/financeinvestments/dolatinvestments/DI11
DOLLAR,"http://www.moneycontrol.com/india/stockpricequote/textilesreadymadeapparels/dollarindustries/DI29
DONEAR,"http://www.moneycontrol.com/india/stockpricequote/textilesweaving/donearindustries/DI25
DPWIRES,"http://www.moneycontrol.com/india/stockpricequote/consumergoodselectronic/dpwires/W01
DQE,"http://www.moneycontrol.com/india/stockpricequote/mediaentertainment/dqentertainmentinternational/DEI01
DUCON,"http://www.moneycontrol.com/india/stockpricequote/computerssoftware/duconinfratechnologies/DT9
ECLERX,"http://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/eclerxservices/eS06
EDELWEISS,"http://www.moneycontrol.com/india/stockpricequote/financegeneral/edelweissfinancialservices/EC01
EDELWEISS,"http://www.moneycontrol.com/india/stockpricequote/financetermlendinginstitutions/edelweissfinancialservicessecuredredeemable/EFS02
EDUCOMP,"http://www.moneycontrol.com/india/stockpricequote/computerssoftwaretraining/educompsolutions/ES8
EICHERMOT,"http://www.moneycontrol.com/india/stockpricequote/autolcvshcvs/eichermotors/EM
EIDPARRY,"http://www.moneycontrol.com/india/stockpricequote/sugar/eidparryindia/EID
EIMCOELECO,"http://www.moneycontrol.com/india/stockpricequote/engineeringheavy/eimcoeleconindia/EEI
ELECON,"http://www.moneycontrol.com/india/stockpricequote/engineeringheavy/eimcoeleconindia/EEI
ELECON,"http://www.moneycontrol.com/india/stockpricequote/engineeringheavy/eleconengineeringcompany/EEC
ELGIEQUIP,"http://www.moneycontrol.com/india/stockpricequote/compressors/elgiequipments/EE01
EMAMIPAP,"http://www.moneycontrol.com/india/stockpricequote/paper/emamipapermills/EPM01
EMAMIREAL,"http://www.moneycontrol.com/india/stockpricequote/constructioncontractingrealestate/emamirealty/EI23
EMKAY,"http://www.moneycontrol.com/india/stockpricequote/financegeneral/emkayglobalfinancialservices/EGF
EMMBI,"http://www.moneycontrol.com/india/stockpricequote/packaging/emmbiindustries/EP09
ENDURANCE,"http://www.moneycontrol.com/india/stockpricequote/auto23wheelers/endurancetechnologies/ET01
ENERGYDEV,"http://www.moneycontrol.com/india/stockpricequote/powergenerationdistribution/energydevelopmentcompany/EDC
EQUITAS,"http://www.moneycontrol.com/india/stockpricequote/financegeneral/equitasholdings/EH03
ERIS,"http://www.moneycontrol.com/india/stockpricequote/pharmaceuticalsdrugs/erislifesciences/EL01
ESABINDIA,"http://www.moneycontrol.com/india/stockpricequote/electrodesgraphite/esabindia/EI06
